QDM Concept	C/A	QDM Attribute	QI Core Profile	QI Core Profile.field	QI Core field	QICore-card	QICore-MS	USCore Profile	USCore-card	USCore-MS	Resource	Comments
Allergy/Intolerance 	A	type 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.reaction 	reaction 			USCoreAllergyIntolerance			AllergyIntolerance	 
Allergy/Intolerance 	A	 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.reaction.substance 	reaction 			USCoreAllergyIntolerance			AllergyIntolerance	 
Allergy/Intolerance 	A	 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.reaction.manifestation 	reaction 			USCoreAllergyIntolerance			AllergyIntolerance	 
Allergy/Intolerance 	A	 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.reaction.onset 	reaction 			USCoreAllergyIntolerance			AllergyIntolerance	 
Allergy/Intolerance 	A	severity 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.reaction.severity 	reaction 			USCoreAllergyIntolerance			AllergyIntolerance	"mild, moderate, severe "
Allergy/Intolerance 	A	 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.criticality 	criticality 			USCoreAllergyIntolerance			AllergyIntolerance	"low, high, unable-to-assess "
Allergy/Intolerance 	A	recorder 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.asserter 	asserter 			USCoreAllergyIntolerance			AllergyIntolerance	 
Allergy/Intolerance 	A	 	QICoreAllergyIntolerance	QICoreAllergyIntolerance.recorder 	recorder 			USCoreAllergyIntolerance			AllergyIntolerance	 
"Assessment, Order "	C	 	QICoreServiceRequest	ServiceRequest.status 	status 			USCore ServiceRequest			ServiceRequest	"Constrain to active, completed "
"Assessment, Order "	C	 	QICoreServiceRequest	ServiceRequest.intent 	intent 			USCore ServiceRequest			ServiceRequest	"Constrain only to ""order"" (include children: original-order, reflex-order, filler-order, instance-order) "
"Assessment, Order "	A	Code 	QICoreServiceRequest	ServiceRequest.code 	code 			USCore ServiceRequest			ServiceRequest	 
"Assessment, Order "	A	id 	QICoreServiceRequest	ServiceRequest.id 	id 			USCore ServiceRequest			ServiceRequest	 
"Assessment, Order "	A	Reason 	QICoreServiceRequest	ServiceRequest.reasonCode 	reasonCode 			USCore ServiceRequest			ServiceRequest	 
"Assessment, Order "	A	Author dateTime 	QICoreServiceRequest	ServiceRequest.authoredOn 	authoredOn 			USCore ServiceRequest			ServiceRequest	When the request transitioned to being actionable. 
"Assessment, Order "	A	Negation Rationale 	QICoreServiceNotRequested	QICoreServiceNotRequested.extension:reasonRefused	.extension:reasonRefused			USCore ServiceRequest			ServiceRequest	 
"Assessment, Order "	A	Requester 	QICoreServiceRequest	ServiceRequest.requester 	requester 			USCore ServiceRequest			ServiceRequest	 
"Assessment, Performed: General Use Case "	C	 	QICoreObservation	QICoreObservation.category 	category 			0			Observation	"Since Assessment is a broad concept, the measure developer will need to select the appropriate category. "
"Assessment, Performed: General Use Case "	C	 	QICoreObservation	QICoreObservation.status 	status 			0			Observation	"Constrain status to -  final, amended, corrected "
"Assessment, Performed: General Use Case "	A	code 	QICoreObservation	QICoreObservation.code 	code 			0			Observation	 
"Assessment, Performed: General Use Case "	A	id 	QICoreObservation	QICoreObservation.id 	id 			0			Observation	 
"Assessment, Performed: General Use Case "	A	method 	QICoreObservation	QICoreObservation.method 	method 			0			Observation	 
"Assessment, Performed: General Use Case "	A	relatedTo 	QICoreObservation	QICoreObservation.basedOn 	basedOn 			0			Observation	 
"Assessment, Performed: General Use Case "	A	 	QICoreObservation	QICoreObservation.partOf 	partOf 			0			Observation	"A larger event of which this particular Observation is a component or step. For example, an observation as part of a procedure. "
"Assessment, Performed: General Use Case "	A	 	QICoreObservation	QICoreObservation.derivedFrom 	derivedFrom 			0			Observation	 
"Assessment, Performed: General Use Case "	A	negationRationale 	QICoreObservationNotDone	QICoreObservationNotDone.extension:notDoneReason	extension:notDoneReason			0			Observation	 
"Assessment, Performed: General Use Case "	A	reason 	QICoreObservation	QICoreObservation.basedOn 	basedOn 			0			Observation	"The observation fulfills a plan, proposal or order - trace for authorization. Not a perfect  fit for the intent in QDM (e.g., observation ""reason"" = a diagnosis)  Is an extension needed? "
"Assessment, Performed: General Use Case "	A	result 	QICoreObservation	QICoreObservation.value[x] 	value[x] 			0			Observation	 
"Assessment, Performed: General Use Case "	A	interpretation 	QICoreObservation	QICoreObservation.interpretation 	interpretation 			0			Observation	New in QDM 5.6 
"Assessment, Performed: General Use Case "	A	relevantDatetime 	QICoreObservation	QICoreObservation.effective[x] 	effective[x] 			0			Observation	 
"Assessment, Performed: General Use Case "	A	relevantPeriod 	QICoreObservation	QICoreObservation.effective[x] 	effective[x] 			0			Observation	 
"Assessment, Performed: General Use Case "	A	authorDatetime 	QICoreObservation	QICoreObservation.issued 	issued 			0			Observation	 
"Assessment, Performed: General Use Case "	A	component 	QICoreObservation	QICoreObservation.component 	component 			0			Observation	 
"Assessment, Performed: General Use Case "	A	 	QICoreObservation	QICoreObservation.component.id 	component 			0			Observation	 
"Assessment, Performed: General Use Case "	A	component.code 	QICoreObservation	QICoreObservation.component.code 	component 			0			Observation	 
"Assessment, Performed: General Use Case "	A	component.result 	QICoreObservation	QICoreObservation.component.value[x] 	component 			0			Observation	 
"Assessment, Performed: General Use Case "	A	 	QICoreObservation	QICoreObservation.component.interpretation 	component 			0			Observation	 
"Assessment, Performed: General Use Case "	A	 	QICoreObservation	QICoreObservation.component.dataAbsentReason 	component 			0			Observation	 
"Assessment, Performed: General Use Case "	A	performer 	QICoreObservation	QICoreObservation.performer 	performer 			0			Observation	 
"Assessment, Recommended "	C	 	QICoreServiceRequest	ServiceRequest.status 	status 			USCore ServiceRequest			ServiceRequest	"Constrain to active, completed "
"Assessment, Recommended "	C	 	QICoreServiceRequest	ServiceRequest.intent 	intent 			USCore ServiceRequest			ServiceRequest	"Constrain only to ""plan"" "
"Assessment, Recommended "	A	code 	QICoreServiceRequest	ServiceRequest.code 	code 			USCore ServiceRequest			ServiceRequest	 
"Assessment, Recommended "	A	id 	QICoreServiceRequest	ServiceRequest.id 	id 			USCore ServiceRequest			ServiceRequest	 
"Assessment, Recommended "	A	reason 	QICoreServiceRequest	ServiceRequest.reasonCode 	reasonCode 			USCore ServiceRequest			ServiceRequest	 
"Assessment, Recommended "	A	authorDatetime 	QICoreServiceRequest	ServiceRequest.authoredOn 	authoredOn 			USCore ServiceRequest			ServiceRequest	When the request transitioned to being actionable. 
"Assessment, Recommended "	A	negationRationale 	QICoreServiceNotRequested	QICoreServiceNotRequested.extension:reasonRefused	.extension:reasonRefused			USCore ServiceRequest			ServiceRequest	 
"Assessment, Recommended "	A	requester 	QICoreServiceRequest	ServiceRequest.requester 	requester 			USCore ServiceRequest			ServiceRequest	 
Patient Care Experience 	C	 	QICoreObservation	QICoreObservation.status 	status 			0			Observation	"Constrain status to -  final, amended, corrected "
Patient Care Experience 	A	code 	QICoreObservation	QICoreObservation.code 	code 			0			Observation	 
Patient Care Experience 	A	id 	QICoreObservation	QICoreObservation.id 	id 			0			Observation	 
Patient Care Experience 	A	 	QICoreObservation	QICoreObservation.effective[x] 	effective[x] 			0			Observation	 
Patient Care Experience 	A	 	QICoreObservation	QICoreObservation.effective[x] 	effective[x] 			0			Observation	 
Patient Care Experience 	A	authorDatetime 	QICoreObservation	QICoreObservation.issued 	issued 			0			Observation	 
Patient Care Experience 	A	recorder 	QICoreObservation	QICoreObservation.performer 	performer 			0			Observation	"who was responsible for asserting the observation as ""true"" "
Provider Care Experience 	A	 	QICoreObservation	QICoreObservation.status 	status 			0			Observation	"Constrain status to -  final, amended, corrected "
Provider Care Experience 	A	code 	QICoreObservation	QICoreObservation.code 	code 			0			Observation	 
Provider Care Experience 	A	id 	QICoreObservation	QICoreObservation.id 	id 			0			Observation	 
Provider Care Experience 	A	 	QICoreObservation	QICoreObservation.effective[x] 	effective[x] 			0			Observation	 
Provider Care Experience 	A	 	QICoreObservation	QICoreObservation.effective[x] 	effective[x] 			0			Observation	 
Provider Care Experience 	A	authorDatetime 	QICoreObservation	QICoreObservation.issued 	issued 			0			Observation	 
Provider Care Experience 	A	recorder 	QICoreObservation	QICoreObservation.performer 	performer 			0			Observation	"who was responsible for asserting the observation as ""true"" "
Care Goal 	C	 	QICoreGoal	QICoreGoal.achievementStatus 	achievementStatus 			USCoreGoal			Goal	 
Care Goal 	A	code 	QICoreGoal	QICoreGoal.target.measure 	target 			USCoreGoal			Goal	 
Care Goal 	A	 	QICoreGoal	QICoreGoal.target.detail 	target 			USCoreGoal			Goal	 
Care Goal 	A	id 	QICoreGoal	QICoreGoal.id 	id 			USCoreGoal			Goal	 
Care Goal 	A	statusDate 	QICoreGoal	N/A	N/A			USCoreGoal			Goal	 
Care Goal 	A	targetOutcome 	QICoreGoal	QICoreGoal.target.detail 	target 			USCoreGoal			Goal	 
Care Goal 	A	relevantPeriod .start	QICoreGoal	QICoreGoal.start [x] 	start[x] 			USCoreGoal			Goal	 
Care Goal 	A	relevantPeriod .end	QICoreGoal	QICoreGoal.target.due [x] 	target.due [x] 			USCoreGoal			Goal	 
Care Goal 	A	statusDate 	QICoreGoal	QICoreGoal.statusDate 	statusDate 			USCoreGoal			Goal	 
Care Goal 	A	relatedTo 	QICoreGoal	QICoreGoal.addresses 	addresses 			USCoreGoal			Goal	 
Care Goal 	A	performer 	QICoreGoal	QICoreGoal.expressedBy 	expressedBy 			USCoreGoal			Goal	 
"Communication, Performed "	C	 	QICoreCommunication	QICoreCommunication.status 	status 			0			Communication	constrain to completed 
"Communication, Performed "	A	code 	QICoreCommunication	QICoreCommunication.reasonCode 	reasonCode 			0			Communication	 
"Communication, Performed "	A	id 	QICoreCommunication	QICoreCommunication.id 	id 			0			Communication	 
"Communication, Performed "	A	category 	QICoreCommunication	QICoreCommunication.category 	category 			0			Communication	"alert, notification, reminder, instruction "
"Communication, Performed "	A	medium 	QICoreCommunication	QICoreCommunication.medium 	medium 			0			Communication	 
"Communication, Performed "	A	sentDatetime 	QICoreCommunication	QICoreCommunication.sent 	sent 			0			Communication	 
"Communication, Performed "	A	receivedDatetime 	QICoreCommunication	QICoreCommunication.received 	received 			0			Communication	 
"Communication, Performed "	A	authorDatetime 	QICoreCommunication	QICoreCommunication.extension:recorded 	extension:recorded 			0			Communication	for use with negationRationale 
"Communication, Performed "	A	relatedTo 	QICoreCommunication	QICoreCommunication.basedOn 	basedOn 			0			Communication	"An order, proposal or plan fulfilled in whole or in part by this QICoreCommunication. "
"Communication, Performed "	A	 	QICoreCommunication	QICoreCommunication.inResponseTo 	inResponseTo 			0			Communication	Response to a communication 
"Communication, Performed "	A	sender 	QICoreCommunication	QICoreCommunication.sender 	sender 			0			Communication	 
"Communication, Performed "	A	recipient 	QICoreCommunication	QICoreCommunication.recipient 	recipient 			0			Communication	 
"Communication, Performed "	A	negationRationale 	QICoreCommunicationNotDone	QICoreCommunicationNotDone.statusReason	statusReason 			0			Communication	 
Condition - Diagnosis - Problem 	C	 	QICoreConditionProblemsHealthConcerns	QICoreConditionProblemsHealthConcerns.clinicalStatus 	clinicalStatus 			USCore Condition Problems Health Concerns			Condition	defines active/inactive 
Condition - Diagnosis - Problem 	C	 	QICoreConditionProblemsHealthConcerns	QICoreConditionProblemsHealthConcerns.verificationStatus 	verificationStatus 			USCore Condition Problems Health Concerns			Condition	"confirmed, unconfirmed provisional, differential, refuted, entered-in-error, "
Condition - Diagnosis - Problem 	C	 	QICoreConditionProblemsHealthConcerns	QICoreConditionProblemsHealthConcerns.category 	category 			USCore Condition Problems Health Concerns			Condition	"problem-list-item, encounter-diagnosis, health-concern "
Condition - Diagnosis - Problem 	A	code 	QICoreConditionProblemsHealthConcerns	QICoreConditionProblemsHealthConcerns.code 	code 			USCore Condition Problems Health Concerns			Condition	 
Condition - Diagnosis - Problem 	A	id 	QICoreConditionProblemsHealthConcerns	QICoreConditionProblemsHealthConcerns.id 	id 			USCore Condition Problems Health Concerns			Condition	 
Condition - Diagnosis - Problem 	A	prevalencePeriod 	QICoreConditionProblemsHealthConcerns	QICoreConditionProblemsHealthConcerns.onset[x] 	onset[x] 			USCore Condition Problems Health Concerns			Condition	"May be dateTime, Age, Period Range, string "
Condition - Diagnosis - Problem 	A	 	QICoreConditionProblemsHealthConcerns	QICoreConditionProblemsHealthConcerns.abatement 	abatement 			USCore Condition Problems Health Concerns			Condition	"May be dateTime, Age, Period Range, string "
Condition - Diagnosis - Problem 	A	authorDatetime 	QICoreConditionProblemsHealthConcerns	QICoreConditionProblemsHealthConcerns.recordedDate 	recordedDate 			USCore Condition Problems Health Concerns			Condition	 
Condition - Diagnosis - Problem 	A	severity 	QICoreConditionProblemsHealthConcerns	QICoreConditionProblemsHealthConcerns.severity 	severity 			USCore Condition Problems Health Concerns			Condition	"severe, moderate, mild "
Condition - Diagnosis - Problem 	A	anatomicalLocationSite 	QICoreConditionProblemsHealthConcerns	QICoreConditionProblemsHealthConcerns.bodySite 	bodySite 			USCore Condition Problems Health Concerns			Condition	 
Condition - Diagnosis - Problem 	A	recorder 	QICoreConditionProblemsHealthConcerns	QICoreConditionProblemsHealthConcerns.recorder 	recorder 			USCore Condition Problems Health Concerns			Condition	Individual who recorded the record and takes responsibility for its content 
Condition - Diagnosis - Problem 	A	 	QICoreConditionProblemsHealthConcerns	QICoreConditionProblemsHealthConcerns.asserter 	asserter 			USCore Condition Problems Health Concerns			Condition	Individual who is making the condition statement 
Device Request 	C	 	QICoreServiceRequest	ServiceRequest.status 	status 			USCore ServiceRequest			ServiceRequest	"Constrain to active, completed "
Device Request 	A	code 	QICoreServiceRequest	ServiceRequest.code 	code 			USCore ServiceRequest			ServiceRequest	 
Device Request 	A	id 	QICoreServiceRequest	ServiceRequest.id 	id 			USCore ServiceRequest			ServiceRequest	 
Device Request 	A	reason 	QICoreServiceRequest	ServiceRequest.reasonCode 	reasonCode 			USCore ServiceRequest			ServiceRequest	 
Device Request 	A	authorDatetime 	QICoreServiceRequest	ServiceRequest.authoredOn 	authoredOn 			USCore ServiceRequest			ServiceRequest	FHIR allows dateTime or Period for desired time or schedule for use. 
Device Request 	A	negationRationale 	QICoreServiceNotRequested	QICoreServiceNotRequested.extension:reasonRefused	.extension:reasonRefused			USCore ServiceRequest			ServiceRequest	or QICoreDeviceNotRequested
Device Request 	A	requester 	QICoreServiceRequest	ServiceRequest.requester 	requester 			USCore ServiceRequest			ServiceRequest	 
"Device, Order "	C		QICoreDeviceRequest	QICoreDeviceRequest.intent 	intent 			0			DeviceRequest	"Constrain to ""Order"" (include children) "
"Device, Order "	A	code 	QICoreDeviceRequest	QICoreDeviceRequest.code 	code 			0			DeviceRequest	 
"Device, Order "	A	id 	QICoreDeviceRequest	QICoreDeviceRequest.id 	id 			0			DeviceRequest	 
"Device, Order "	A	reason 	QICoreDeviceRequest	QICoreDeviceRequest.reasonCode 	reasonCode 			0			DeviceRequest	 
"Device, Order "	A	authorDatetime 	QICoreDeviceRequest	QICoreDeviceRequest.authoredOn 	authoredOn 			0			DeviceRequest	FHIR allows dateTime or Period for deseired time or schedule for use. 
"Device, Order "	A	negationRationale 	QICoreDeviceNotRequested	QICoreDeviceNotRequested.	extension:doNotPerformReason			0			DeviceRequest	 
"Device, Order "	A	requester 	QICoreDeviceRequest	QICoreDeviceRequest.requester 	requester 			0			DeviceRequest	 
"Diagnostic Study, Order "	C	 	QICoreServiceRequest	ServiceRequest.status 	status 			USCore ServiceRequest			ServiceRequest	"Constrain to active, completed "
"Diagnostic Study, Order "	C	 	QICoreServiceRequest	ServiceRequest.intent 	intent 			USCore ServiceRequest			ServiceRequest	"Constrain only to ""order"" (include children: original-order, reflex-order, filler-order, instance-order) "
"Diagnostic Study, Order "	A	code 	QICoreServiceRequest	ServiceRequest.code 	code 			USCore ServiceRequest			ServiceRequest	 
"Diagnostic Study, Order "	A	id 	QICoreServiceRequest	ServiceRequest.id 	id 			USCore ServiceRequest			ServiceRequest	 
"Diagnostic Study, Order "	A	reason 	QICoreServiceRequest	ServiceRequest.reasonCode 	reasonCode 			USCore ServiceRequest			ServiceRequest	 
"Diagnostic Study, Order "	A	authorDatetime 	QICoreServiceRequest	ServiceRequest.authoredOn 	authoredOn 			USCore ServiceRequest			ServiceRequest	When the request transitioned to being actionable. 
"Diagnostic Study, Order "	A	negationRationale 	QICoreServiceNotRequested	QICoreServiceNotRequested.extension:reasonRefused	.extension:reasonRefused			USCore ServiceRequest			ServiceRequest	 
"Diagnostic Study, Order "	A	requester 	QICoreServiceRequest	ServiceRequest.requester 	requester 			USCore ServiceRequest			ServiceRequest	 
"Diagnostic Study, Performed "		"**Diagnostic Study, Performed** "	QICoreObservationClinicalTestResult	"Observation Clinical Test Profile for non-laboratory, non-imaging study results "	 			USCore Observation Clincal Test Result			Observation	Observation Imaging Result Profile for imaging
"Diagnostic Study, Performed "	C	 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.partOf 	partOf 			USCore Observation Clincal Test Result			Observation	"A larger event of which this particular Observation is a component or step. For example, an observation as part of a procedure. "
"Diagnostic Study, Performed "	C	 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.status 	status 			USCore Observation Clincal Test Result			Observation	"Constrain status to -  final, amended, corrected "
"Diagnostic Study, Performed "	A	code 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.code 	code 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	id 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.id 	id 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	method 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.method 	method 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	facilityLocation 	QICoreObservationClinicalTestResult	N/A	N/A			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.bodySite 	bodySite 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	negationRationale 	QICoreObservationNotDone	QICoreObservationNotDone.extension:notDoneReason	extension:notDoneReason			0			Observation	 
"Diagnostic Study, Performed "	A	reason 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.basedOn 	basedOn 			USCore Observation Clincal Test Result			Observation	"the Observation.basedOn concept indicates the plan, proposal or order that the observation fulfills. This concept is not consistent with the QDM concept of ""reason"" for the study to be performed. "
"Diagnostic Study, Performed "	A	relatedTo 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.basedOn 	basedOn 			USCore Observation Clincal Test Result			Observation	New in QDM 5.6 
"Diagnostic Study, Performed "	A	result 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.value[x] 	value[x] 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	interpretation 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.interpretation 	interpretation 			USCore Observation Clincal Test Result			Observation	New in QDM 5.6 
"Diagnostic Study, Performed "	A	resultDatetime 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.issued 	issued 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	relevantDatetime 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.effective[x] 	effective[x] 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	relevantPeriod 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.effective[x] 	effective[x] 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	status 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.status 	status 			USCore Observation Clincal Test Result			Observation	"Constrain status to -  final, amended, corrected, appended "
"Diagnostic Study, Performed "	A	authorDatetime 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.issued 	issued 			USCore Observation Clincal Test Result			Observation	"Issued - the date and time this version of the observation was made available to providers, typically after the results have been reviewed and verified. Consider if QI-Core should include an extension to manage timing of the dataAbsentReason. "
"Diagnostic Study, Performed "	A	component 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.component 	component 			USCore Observation Clincal Test Result			Observation	Components not present in US Core-R4 DiagnosticReport but the report references Observation for results; thus it seems reasonable to re-use observation concepts for the components of a DiagnosticReport 
"Diagnostic Study, Performed "	A	component.id	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.component.id 	component 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	component.code 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.component.code 	component 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	component.result 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.component.value[x] 	component 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.component.interpretation 	component 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.component.dataAbsentReason 	component 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Performed "	A	performer 	QICoreObservationClinicalTestResult	QICoreObservationClinicalTestResult.performer 	performer 			USCore Observation Clincal Test Result			Observation	 
"Diagnostic Study, Recommended "	C	 	QICoreServiceRequest	ServiceRequest.status 	status 			USCore ServiceRequest			ServiceRequest	"Constrain to active, completed "
"Diagnostic Study, Recommended "	C	 	QICoreServiceRequest	ServiceRequest.intent 	intent 			USCore ServiceRequest			ServiceRequest	"Constrain only to ""plan"" "
"Diagnostic Study, Recommended "	A	code 	QICoreServiceRequest	ServiceRequest.code 	code 			USCore ServiceRequest			ServiceRequest	 
"Diagnostic Study, Recommended "	A	id 	QICoreServiceRequest	ServiceRequest.id 	id 			USCore ServiceRequest			ServiceRequest	 
"Diagnostic Study, Recommended "	A	reason 	QICoreServiceRequest	ServiceRequest.reasonCode 	reasonCode 			USCore ServiceRequest			ServiceRequest	 
"Diagnostic Study, Recommended "	A	authorDatetime 	QICoreServiceRequest	ServiceRequest.authoredOn 	authoredOn 			USCore ServiceRequest			ServiceRequest	When the request transitioned to being actionable. 
"Diagnostic Study, Recommended "	A	negationRationale 	QICoreServiceNotRequested	QICoreServiceNotRequested.extension:reasonRefused	.extension:reasonRefused			USCore ServiceRequest			ServiceRequest	 
"Diagnostic Study, Recommended "	A	requester 	QICoreServiceRequest	ServiceRequest.requester 	requester 			USCore ServiceRequest			ServiceRequest	 
"Encounter, Order "	C	 	QICoreServiceRequest	ServiceRequest.status 	status 			USCore ServiceRequest			ServiceRequest	"Constrain to active, completed "
"Encounter, Order "	C	 	QICoreServiceRequest	ServiceRequest.intent 	intent 			USCore ServiceRequest			ServiceRequest	"Constrain only to ""order"" (include children: original-order, reflex-order, filler-order, instance-order) "
"Encounter, Order "	A	code 	QICoreServiceRequest	ServiceRequest.code 	code 			USCore ServiceRequest			ServiceRequest	 
"Encounter, Order "	A	id 	QICoreServiceRequest	ServiceRequest.id 	id 			USCore ServiceRequest			ServiceRequest	 
"Encounter, Order "	A	reason 	QICoreServiceRequest	ServiceRequest.reasonCode 	reasonCode 			USCore ServiceRequest			ServiceRequest	 
"Encounter, Order "	A	authorDatetime 	QICoreServiceRequest	ServiceRequest.authoredOn 	authoredOn 			USCore ServiceRequest			ServiceRequest	When the request transitioned to being actionable. 
